Vernier Format 2
Untitled.cmbl 10/17/2024 10:48:04 .
Latest
Time	Position	Velocity	Acceleration
t	x	v	acc
s	m	m/s	m/s²

0.033333	1.1831785	-0.00485921525882	0.30325141222
0.066666	1.1824925	0.00936113527802	0.13604747788
0.099999	1.184036	0.0117478674787	-0.0856445253819
0.133332	1.1838645	-0.000714590479238	-0.18988049898
0.166665	1.183693	-0.00671715050484	-0.128163084082
0.199998	1.18335	-0.010290102901	-0.0132438759873
0.233331	1.1828355	-0.00757465907992	0.0983762730712
0.266664	1.182664	-0.000285836191695	0.10826154022
0.299997	1.183007	0.00228668953356	0.0466870448473
0.33333	1.183007	0.000285836191695	0.0443050527633
0.366663	1.1828355	0.0027154438211	0.104093054073
0.399996	1.183007	0.00971843051764	0.10373575526
0.433329	1.183693	0.0117192838595	0.0465679452432
0.466662	1.1838645	0.0114334476678	0.0163166457757
0.499995	1.184379	0.0122909562429	-0.00023819920842
0.533328	1.184722	0.0120051200512	-0.0250109168825
0.566661	1.1852365	0.010290102901	-0.0381118733448
0.599994	1.185408	0.00857508575086	-0.0290603034254
0.633327	1.185751	0.00828924955916	-0.0219143271732
0.66666	1.1859225	0.00857508575086	-0.0537139214952
0.699993	1.186437	0.00571672383391	-0.108737938637
0.733326	1.186437	-0.00057167238339	-0.113501922805
0.766659	1.1862655	-0.00357295239619	-0.0731271569803
0.799992	1.186094	-0.00400170668373	-0.0658620811239
0.833325	1.186094	-0.00657423240899	-0.0914684960274
0.866658	1.185751	-0.0114334476678	-0.0833697229417
0.899991	1.1852365	-0.0137201372014	-0.0348961840313
0.933324	1.184722	-0.0130055467221	-0.00559768139754
0.966657	1.184379	-0.0122909562429	-0.0227480244027
0.99999	1.184036	-0.0145776457765	-0.0459724472221
1.033323	1.18335	-0.0167214172142	-0.0244154188615
1.066656	1.1828355	-0.0155780724474	0.00571678100172
1.099989	1.182664	-0.0212947962813	0.156973278339
1.133322	1.180606	-0.0062883962173	0.31799594322
1.166655	1.1821495	0.0108617752844	0.190797565932
1.199988	1.1821495	0.00743174098408	0.0260828133203
1.233321	1.1824925	0.00643131431314	0.0127436576496
1.266654	1.1824925	0.00671715050484	0.0570487104129
1.299987	1.1828355	0.0108617752844	0.0908729980064
1.33332	1.1831785	0.0154351543515	0.049426335744
1.366653	1.184036	0.0154351543515	-0.0245345184657
1.399986	1.184379	0.0110046933803	-0.0292985026338
1.433319	1.1845505	0.0117192838595	0.0102425659614
1.466652	1.185065	0.0145776457765	-0.0202469327144
1.499985	1.185751	0.0117192838595	-0.0844416193795
1.533318	1.1859225	0.00671715050484	-0.0946841853409
1.566651	1.186094	0.00400170668374	-0.068244073208
1.599984	1.186094	0.00357295239619	-0.0730080573761
1.633317	1.186437	0.00057167238339	-0.1105244327
1.66665	1.1862655	-0.00557380573806	-0.103259356843
1.699983	1.1859225	-0.00814633146331	-0.0508555309944
1.733316	1.1855795	-0.00714590479238	-0.0420421602834
1.766649	1.1855795	-0.0092896762301	-0.0718170613341
1.799982	1.185065	-0.0137201372014	-0.0563341127877
1.833315	1.1845505	-0.0151493181598	0.0119099604202
1.866648	1.1838645	-0.0115763657637	0.0483544393062
1.899981	1.1838645	-0.00971843051764	0.0295367018422
1.933314	1.18335	-0.0108617752844	0.0378736741364
1.966647	1.183007	-0.0087180038467	0.0809877308576
1.99998	1.182664	-0.00400170668373	0.0890865039434
2.033313	1.1828355	-0.00142918095848	0.0650283838945
2.066646	1.182664	-0.00100042667093	0.0716979617298
2.099979	1.182664	0.00200085334187	0.107666042199
2.133312	1.182664	0.00800341336747	0.0981380738628
2.166645	1.18335	0.0104330209969	0.0398983674078
2.199978	1.1835215	0.00857508575086	0.0271547097582
2.233311	1.183693	0.0117192838595	0.0273929089666
2.266644	1.184379	0.0125767924346	-0.0177458410262
2.299977	1.184722	0.00928967623009	-0.0312040963011
2.33331	1.1848935	0.00828924955916	0.00214379287565
2.366643	1.185065	0.0118622019554	-0.0250109168825
2.399976	1.1859225	0.0092896762301	-0.112430026367
2.433309	1.1859225	0.00100042667094	-0.114097420826
2.466642	1.185751	-0.00157209905432	-0.0351343832397
2.499975	1.1855795	0.00171501715017	-0.0291794030296
2.533308	1.186094	-0.000428754287543	-0.099448169509
2.566641	1.185751	-0.00757465907992	-0.104926751302
2.599974	1.185408	-0.010290102901	-0.0372781761154
2.633307	1.1848935	-0.00857508575086	-0.00309658970924
2.66664	1.1848935	-0.00786049527162	-0.0354916820523
2.699973	1.1845505	-0.0117192838595	-0.050021833765
2.733306	1.184036	-0.0135772191055	-0.00190559366724
2.766639	1.1835215	-0.0120051200512	0.0534757222869
2.799972	1.1831785	-0.00857508575086	0.0731271569803
2.833305	1.183007	-0.00614547812145	0.0631227902273
2.866638	1.1828355	-0.00543088764221	0.0738417546055
